#epsp #epsq #p #q #epsev #epses #Tg #pd #qd #e #t 
0.00000e+00 1.62000e-02 6.59092e+01 3.08766e+01 4.09991e-02 8.76911e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 810.00000000 
0.00000e+00 1.63000e-02 6.58129e+01 3.09499e+01 4.09603e-02 8.79823e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 815.00000000 
0.00000e+00 1.64000e-02 6.57175e+01 3.10225e+01 4.09218e-02 8.82717e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 820.00000000 
0.00000e+00 1.65000e-02 6.56229e+01 3.10946e+01 4.08836e-02 8.85595e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 825.00000000 
0.00000e+00 1.66000e-02 6.55291e+01 3.11661e+01 4.08456e-02 8.88457e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 830.00000000 
0.00000e+00 1.67000e-02 6.54362e+01 3.12371e+01 4.08079e-02 8.91302e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 835.00000000 
0.00000e+00 1.68000e-02 6.53442e+01 3.13075e+01 4.07704e-02 8.94131e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 840.00000000 
0.00000e+00 1.69000e-02 6.52530e+01 3.13773e+01 4.07332e-02 8.96944e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 845.00000000 
0.00000e+00 1.70000e-02 6.51626e+01 3.14467e+01 4.06963e-02 8.99741e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 850.00000000 
0.00000e+00 1.71000e-02 6.50730e+01 3.15155e+01 4.06596e-02 9.02522e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 855.00000000 
0.00000e+00 1.72000e-02 6.49842e+01 3.15837e+01 4.06232e-02 9.05288e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 860.00000000 
0.00000e+00 1.73000e-02 6.48963e+01 3.16515e+01 4.05870e-02 9.08038e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 865.00000000 
0.00000e+00 1.74000e-02 6.48091e+01 3.17187e+01 4.05511e-02 9.10772e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 870.00000000 
0.00000e+00 1.75000e-02 6.47227e+01 3.17854e+01 4.05154e-02 9.13491e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 875.00000000 
0.00000e+00 1.76000e-02 6.46371e+01 3.18517e+01 4.04800e-02 9.16195e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 880.00000000 
0.00000e+00 1.77000e-02 6.45523e+01 3.19174e+01 4.04448e-02 9.18884e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 885.00000000 
0.00000e+00 1.78000e-02 6.44683e+01 3.19826e+01 4.04098e-02 9.21558e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 890.00000000 
0.00000e+00 1.79000e-02 6.43851e+01 3.20474e+01 4.03751e-02 9.24217e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 895.00000000 
0.00000e+00 1.80000e-02 6.43026e+01 3.21117e+01 4.03407e-02 9.26861e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 900.00000000 
0.00000e+00 1.81000e-02 6.42208e+01 3.21755e+01 4.03065e-02 9.29490e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 905.00000000 
0.00000e+00 1.82000e-02 6.41398e+01 3.22388e+01 4.02725e-02 9.32105e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 910.00000000 
0.00000e+00 1.83000e-02 6.40596e+01 3.23017e+01 4.02388e-02 9.34706e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 915.00000000 
0.00000e+00 1.84000e-02 6.39801e+01 3.23641e+01 4.02053e-02 9.37292e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 920.00000000 
0.00000e+00 1.85000e-02 6.39013e+01 3.24261e+01 4.01720e-02 9.39864e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 925.00000000 
0.00000e+00 1.86000e-02 6.38232e+01 3.24876e+01 4.01390e-02 9.42421e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 930.00000000 
0.00000e+00 1.87000e-02 6.37459e+01 3.25487e+01 4.01062e-02 9.44965e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 935.00000000 
0.00000e+00 1.88000e-02 6.36693e+01 3.26094e+01 4.00737e-02 9.47495e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 940.00000000 
0.00000e+00 1.89000e-02 6.35934e+01 3.26696e+01 4.00413e-02 9.50010e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 945.00000000 
0.00000e+00 1.90000e-02 6.35182e+01 3.27294e+01 4.00092e-02 9.52512e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 950.00000000 
0.00000e+00 1.91000e-02 6.34437e+01 3.27888e+01 3.99774e-02 9.55001e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 955.00000000 
0.00000e+00 1.92000e-02 6.33699e+01 3.28478e+01 3.99457e-02 9.57476e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 960.00000000 
0.00000e+00 1.93000e-02 6.32967e+01 3.29063e+01 3.99143e-02 9.59937e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 965.00000000 
0.00000e+00 1.94000e-02 6.32243e+01 3.29645e+01 3.98831e-02 9.62385e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 970.00000000 
0.00000e+00 1.95000e-02 6.31525e+01 3.30223e+01 3.98522e-02 9.64820e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 975.00000000 
0.00000e+00 1.96000e-02 6.30814e+01 3.30796e+01 3.98214e-02 9.67242e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 980.00000000 
0.00000e+00 1.97000e-02 6.30110e+01 3.31366e+01 3.97909e-02 9.69650e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 985.00000000 
0.00000e+00 1.98000e-02 6.29412e+01 3.31932e+01 3.97606e-02 9.72046e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 990.00000000 
